method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,132,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0226160320
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000157070
PI-NSGA-II,Poisson_1D,110,0.0000000000,0.0000000000,5.0175858473,0.0000000000,1.0000000000,0.0413166930
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000228130
PI-NSGA-II,Helmholtz_1D,116,0.0000000000,0.0000000000,5.8267869159,0.0087213648,1.0000000000,0.0410603650
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000283010
PI-NSGA-II,Schrodinger_1D,113,0.0000000000,0.0000000000,2.3461860310,0.1081337422,1.0000000000,0.0282919050
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000085340
PI-NSGA-II,HarmonicOscillator_1D,91,0.0000000000,0.0000000000,0.0125246069,0.0004293454,1.0000000000,0.0262071980
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063620
PI-NSGA-II,Airy_1D,250,0.0440141813,0.0000023598,0.3359675144,0.0028583371,0.9999955983,32.4240245370
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079270
PI-NSGA-II,Laplace_2D,118,0.0000000000,0.0000000000,1.7922991510,0.0254140738,1.0000000000,0.0804571030
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0455024180
PI-NSGA-II,Poisson_2D,101,0.0000000000,0.0000000000,10.8145174459,0.0305290628,1.0000000000,0.0642905630
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.1012459640
PI-NSGA-II,Helmholtz_2D,99,0.0000000000,0.0000000000,8.2000182275,0.0258806675,1.0000000000,0.0566923100
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.0980473350
PI-NSGA-II,Schrodinger_2D,88,0.0000000000,0.0000000000,1.0489213168,0.0338568502,1.0000000000,0.0604262760
PI-NSGA-II,HarmonicOscillator_2D,92,0.0000000000,0.0000000000,0.0852847956,0.0018126055,1.0000000000,0.0375712370
PI-NSGA-II,Airy_2D,192,0.2205750386,0.0090502676,0.2207338010,0.0091343863,0.9999770375,5.8417440960
PI-NSGA-II,NonlinearPoisson_2D,88,0.0000000000,0.0000000000,0.1078431378,0.0023046260,1.0000000000,0.0477675550
PI-NSGA-II,Liouville_2D,88,0.0000000000,0.0000000000,0.0968408870,0.0023547780,1.0000000000,0.0437699660
PI-NSGA-II,Sine-Gordon_2D,106,0.0000000000,0.0000000000,15.5233960478,0.0565152766,1.0000000000,0.0654503880
PI-NSGA-II,Navier-Stokes_2D,30,0.0000000066,0.0000000000,0.0001769921,0.0000088496,1.0000000000,0.4658394630
