method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0305501950
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000146270
PI-NSGA-II,Poisson_1D,157,0.0000000000,0.0000000000,3.2305070525,0.0091594204,0.7466794660,0.0420336800
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000275050
PI-NSGA-II,Helmholtz_1D,175,0.0000000000,0.0000000000,4.6494903400,0.0398971482,0.7479557462,0.0453599140
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000447940
PI-NSGA-II,Schrodinger_1D,164,0.0000000000,0.0000000000,0.1221193281,0.0466692822,0.8332672772,0.0392888450
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000101100
PI-NSGA-II,HarmonicOscillator_1D,179,0.0000000000,0.0000000000,0.0121900535,0.0692328090,0.4999998145,0.0327731920
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000070850
PI-NSGA-II,Airy_1D,134,0.0000000000,0.0000000000,0.0979195526,0.1100228165,0.8333332713,0.0590384280
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079940
PI-NSGA-II,Fisher_1D,177,0.0000000000,0.0000000000,0.1522767779,0.0314844612,0.8571424511,0.0348883180
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000406850
PI-NSGA-II,Duffing_1D,178,0.0000000000,0.0000000000,0.0782255540,0.0334186085,0.9090906505,0.0351264540
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000241590
PI-NSGA-II,ThomasFermi_1D,112,0.0000000000,0.0000000000,0.0797934834,0.1315119895,0.8571424233,0.1281805310
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000204500
PI-NSGA-II,Laplace_2D,76,0.0000000000,0.0000000000,654.8604454196,0.0099087932,0.9090835010,0.2479954230
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0415165680
PI-NSGA-II,Poisson_2D,178,0.0000000000,0.0000000000,19.2737084392,0.0495810758,0.8835308855,0.0615038640
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1522429560
PI-NSGA-II,Helmholtz_2D,169,0.0000000000,0.0000000000,15.8199704548,0.4348887340,0.8851653807,0.0674582700
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2519977520
PI-NSGA-II,Schrodinger_2D,191,0.0000000000,0.0000000000,15.1995013780,0.1814903705,0.9275870904,0.0474967120
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0462482270
PI-NSGA-II,HarmonicOscillator_2D,199,0.0000000000,0.0000000000,0.1038745991,0.0798636271,0.8333237456,0.0505421540
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0434592260
PI-NSGA-II,Airy_2D,140,0.0000619422,0.0000000000,0.2316764286,0.0474998123,0.8749961446,0.0813278830
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0397085250
PI-NSGA-II,Fisher_2D,196,0.0000000000,0.0000000000,0.7395516885,0.0315963025,0.9565202747,0.0587861980
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0422966930
PI-NSGA-II,Duffing_2D,195,0.0000000000,0.0000000000,0.4794976712,0.0553068942,0.8333289807,0.0598626660
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0484044780
PI-NSGA-II,ThomasFermi_2D,135,0.0000000029,0.0000000000,0.8380755898,0.1552828006,0.9090870946,0.1710895810
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0506310130
PI-NSGA-II,NonlinearPoisson_2D,113,0.0000000000,0.0000000000,0.4275475101,0.0895084048,0.8888157051,0.1625996820
RK4/FDM,NonlinearPoisson_2D,1,0.0001150038,0.0000000000,0.0001150038,0.0000000000,0.0000000000,0.1125323300
PI-NSGA-II,Liouville_2D,115,0.0000000000,0.0000000000,0.3356986099,0.0973483497,0.8888385007,0.1646820730
RK4/FDM,Liouville_2D,1,0.0001504742,0.0000000000,0.0001504742,0.0000000000,0.0000000000,0.1804045500
PI-NSGA-II,ThomasFermi_2D,135,0.0000000029,0.0000000000,0.8259472369,0.1619924845,0.9090870946,0.1584235480
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0501950180
PI-NSGA-II,Navier-Stokes_2D,79,0.0000000000,0.0000000000,0.0020417301,0.0000014117,0.9333333327,1.0426238820
PI-NSGA-II,Navier-Stokes-Unsteady_2D,142,0.0000000000,0.0000000000,0.7006278758,0.0167770922,0.9333282192,1.2740330880
PI-NSGA-II,Bratu_2D,106,0.0000000000,0.0000000000,3.1854667410,7.1426834151,0.8749400792,0.2581802520
RK4/FDM,Bratu_2D,1,0.0000152097,0.0000000000,0.0000152097,0.0000000000,0.0000000000,0.0976184980
PI-NSGA-II,Allen-Cahn_2D,114,0.0000000000,0.0000000000,0.0302431941,0.2513796889,0.8888478193,0.1771271000
RK4/FDM,Allen-Cahn_2D,1,0.1375674152,0.0000000000,0.1375674152,0.0000000000,0.0000000000,0.0617437350
PI-NSGA-II,Lane-Emden_1D,72,0.0000000032,0.0000000000,11.1463320876,0.0028660650,0.8332491742,0.1337742810
RK4/FDM,Lane-Emden_1D,1,0.0036296290,0.0000000000,0.0036296290,0.0000000000,0.0000000000,0.0000195020
