method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,114,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0198941950
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000090590
PI-NSGA-II,Poisson_1D,100,0.0000000000,0.0000000000,5.8138200931,0.0000000000,1.0000000000,0.0298914970
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000120770
PI-NSGA-II,Helmholtz_1D,101,0.0000000000,0.0000000000,5.0078638577,0.0018616171,1.0000000000,0.0399435960
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000331880
PI-NSGA-II,Schrodinger_1D,100,0.0000000000,0.0000000000,3.3519597553,0.1663538979,1.0000000000,0.0329421640
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000118860
PI-NSGA-II,HarmonicOscillator_1D,95,0.0000000000,0.0000000000,0.0388205545,0.0012281255,1.0000000000,0.0256208920
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000065980
PI-NSGA-II,Airy_1D,239,0.0073795362,0.0000054501,0.1073933996,0.0044077392,0.9999992615,11.7950987290
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000062930
PI-NSGA-II,Laplace_2D,105,0.0000000000,0.0000000000,0.4032325108,0.0200000753,1.0000000000,0.0790524190
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0474037680
PI-NSGA-II,Poisson_2D,100,0.0000000000,0.0000000000,7.9326681268,0.0088562580,1.0000000000,0.0551844890
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.0967171030
PI-NSGA-II,Helmholtz_2D,102,0.0000000000,0.0000000000,8.6764414328,0.0122055974,1.0000000000,0.0987957640
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.1011550120
PI-NSGA-II,Schrodinger_2D,96,0.0000000000,0.0000000000,2.1493789834,0.0614131592,1.0000000000,0.0448141730
PI-NSGA-II,HarmonicOscillator_2D,97,0.0000000000,0.0000000000,0.0809519313,0.0024533360,1.0000000000,0.0401491010
PI-NSGA-II,Airy_2D,237,0.0833509172,0.0033062986,0.1808331365,0.0071579777,0.9999913343,17.0292225680
PI-NSGA-II,NonlinearPoisson_2D,93,0.0000000000,0.0000000000,0.1051552739,0.0026286581,1.0000000000,0.0511015200
PI-NSGA-II,Liouville_2D,93,0.0000000000,0.0000000000,0.0956087771,0.0025901694,1.0000000000,0.0493794850
PI-NSGA-II,Sine-Gordon_2D,106,0.0000000000,0.0000000000,13.9272751224,0.0309582432,1.0000000000,0.0692891120
PI-NSGA-II,Navier-Stokes_2D,22,0.0000000064,0.0000000000,0.0001302352,0.0000065117,1.0000000000,0.5136739130
