gen,best_mse_domain,best_mse_boundary,best_total_mse
0,0,0,0.262274
1,0,0,0.00421603
2,0,0,0.00412282
3,0,0,0.00412282
4,0,0,0.00412282
5,0,0,0.00412282
6,0,0,0.00412282
7,0,0,0.00412282
8,0,0,0.00412282
9,0,0,0.00412282
10,0,0,0.00412282
11,0,0,0.00412282
12,0,0,0.00412282
13,0,0,0.00412282
14,0,0,0.00411385
15,0,0,0.00411385
16,0,0,0.00411385
17,0,0,0.00411385
18,0,0,0.00411385
19,0,0,0.00411385
20,0,0,0.00411385
21,0,0,0.00411385
22,0,0,0.00411385
23,0,0,0.00411385
24,0,0,0.00411385
25,0,0,0.00411385
26,0,0,0.00411385
27,0,0,0.00411385
28,0,0,0.00411385
29,0,0,0.00411385
30,0,0,0.000234838
31,0,0,0.000234838
32,0,0,0.000234838
33,0,0,0.00010954
34,0,0,0.00010954
35,0,0,0.00010954
36,0,0,0.00010954
37,0,0,0.00010954
38,0,0,0.00010954
39,0,0,0.00010954
40,0,0,0.00010954
41,0,0,0.00010954
42,0,0,0.00010954
43,0,0,0.00010954
44,0,0,0.00010954
45,0,0,0.00010954
46,0,0,0.00010954
47,0,0,0.00010954
48,0,0,0.00010954
49,0,0,0.00010954
50,0,0,0.00010954
51,0,0,0.00010954
52,0,0,0.00010954
53,0,0,0.00010954
54,0,0,0.00010954
55,0,0,0.00010954
56,0,0,0.00010954
57,0,0,0.00010954
58,0,0,0.00010954
59,0,0,0.00010954
60,0,0,0.00010954
61,0,0,0.00010954
62,0,0,0.00010954
63,0,0,0.00010954
64,0,0,0.00010954
65,0,0,0.00010954
66,0,0,0.00010954
67,0,0,0.00010954
68,0,0,0.00010954
69,0,0,0.00010954
70,0,0,0.00010954
71,0,0,0.00010954
72,0,0,0.00010954
73,0,0,0.00010954
74,0,0,0.00010954
75,0,0,0.00010954
76,0,0,0.00010954
77,0,0,0.00010954
78,0,0,0.00010954
79,0,0,0.00010954
80,0,0,2.89928e-05
81,0,0,2.89928e-05
82,0,0,2.89928e-05
83,0,0,2.89928e-05
84,0,0,2.89928e-05
85,0,0,2.89928e-05
86,0,0,2.89928e-05
87,0,0,2.89928e-05
88,0,0,2.89928e-05
89,0,0,2.89928e-05
90,0,0,2.89928e-05
91,0,0,2.89928e-05
92,0,0,2.89928e-05
93,0,0,2.89928e-05
94,0,0,2.67634e-05
95,0,0,2.49539e-05
96,0,0,2.49539e-05
97,0,0,1.492e-05
98,0,0,1.492e-05
99,0,0,1.492e-05
100,0,0,1.492e-05
101,0,0,1.492e-05
102,0,0,1.492e-05
103,0,0,1.00138e-06
104,0,0,1.00138e-06
105,0,0,1.00138e-06
106,0,0,1.00138e-06
107,0,0,1.00138e-06
108,0,0,1.00138e-06
109,0,0,1.00138e-06
110,0,0,1.00138e-06
111,0,0,1.00138e-06
112,0,0,1.00138e-06
113,0,0,1.00138e-06
114,0,0,1.00138e-06
115,0,0,1.00138e-06
116,0,0,1.00138e-06
117,0,0,1.00138e-06
118,0,0,1.00138e-06
119,0,0,1.00138e-06
120,0,0,1.00138e-06
121,0,0,1.00138e-06
122,0,0,1.00138e-06
123,0,0,1.00138e-06
124,0,0,1.00138e-06
125,0,0,1.00138e-06
126,0,0,1.00138e-06
127,0,0,1.00138e-06
128,0,0,1.00138e-06
129,0,0,1.00138e-06
130,0,0,1.00138e-06
131,0,0,1.00138e-06
132,0,0,1.00138e-06
133,0,0,1.00138e-06
134,0,0,1.00138e-06
135,0,0,1.00138e-06
136,0,0,1.00138e-06
137,0,0,1.00138e-06
138,0,0,1.00138e-06
139,0,0,1.00138e-06
140,0,0,1.00138e-06
141,0,0,1.00138e-06
142,0,0,1.00138e-06
143,0,0,1.00138e-06
144,0,0,1.00138e-06
145,0,0,1.00138e-06
146,0,0,1.00138e-06
147,0,0,1.00138e-06
148,0,0,1.00138e-06
149,0,0,1.00138e-06
