method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,161,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0335443710
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000093760
PI-NSGA-II,Poisson_1D,175,0.0000000000,0.0000000000,4.4186784236,0.0141614684,0.7466935603,0.0433633930
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000209240
PI-NSGA-II,Helmholtz_1D,173,0.0000000000,0.0000000000,3.3750412006,0.0139001264,0.7479038171,0.0449929580
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000575840
PI-NSGA-II,Schrodinger_1D,180,0.0000000000,0.0000000000,2.8510208490,0.1301854527,0.8332961804,0.0526579310
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000103550
PI-NSGA-II,HarmonicOscillator_1D,171,0.0000000000,0.0000000000,0.0124425274,0.0584662288,0.4999980496,0.0386956670
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079830
PI-NSGA-II,Airy_1D,148,0.0000000000,0.0000000000,0.0644739674,0.1157362857,0.8888869143,0.0698833800
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000157720
PI-NSGA-II,Fisher_1D,177,0.0000000000,0.0000000000,0.1454899909,0.0354088872,0.7999994315,0.0374564230
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000217200
PI-NSGA-II,Duffing_1D,173,0.0000000000,0.0000000000,0.0795643373,0.0414155042,0.8749996444,0.0369489070
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000240660
PI-NSGA-II,ThomasFermi_1D,112,0.0000000000,0.0000000000,0.0440086058,0.1688204614,0.8571368733,0.1314659740
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000232690
PI-NSGA-II,Laplace_2D,73,0.0000000000,0.0000000000,0.0373394918,0.0017063437,0.9090841284,0.2621328260
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0398589960
PI-NSGA-II,Poisson_2D,184,0.0000000000,0.0000000000,10.6186397236,0.0263156701,0.8832379095,0.0647296220
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1546061700
PI-NSGA-II,Helmholtz_2D,177,0.0000000000,0.0000000000,13.8531472890,0.9407072738,0.8847603490,0.0686810380
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2530538590
PI-NSGA-II,Schrodinger_2D,167,0.0000000000,0.0000000000,0.2504458706,0.0547202863,0.8744913621,0.0485858820
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0466140140
PI-NSGA-II,HarmonicOscillator_2D,168,0.0000000000,0.0000000000,0.0254803833,0.0467284274,0.8333268596,0.0534236530
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0433732040
PI-NSGA-II,Airy_2D,124,0.0000000000,0.0000000000,0.0605509232,0.0776459073,0.9230727898,0.0864630590
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0407601040
PI-NSGA-II,Fisher_2D,192,0.0000000000,0.0000000000,0.8033809147,0.0348569646,0.8888854231,0.0594271110
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0414506470
PI-NSGA-II,Duffing_2D,177,0.0000000000,0.0000000000,0.4404418472,0.0515277349,0.8749965856,0.0615871370
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0486003870
PI-NSGA-II,ThomasFermi_2D,106,0.0000000000,0.0000000000,0.7014107255,0.1792617650,0.9090864351,0.1789383810
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0520857910
