method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,135,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0226194290
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000144780
PI-NSGA-II,Poisson_1D,94,0.0000000000,0.0000000000,2.9159686139,0.0000000000,1.0000000000,0.0318416270
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000219700
PI-NSGA-II,Helmholtz_1D,94,0.0000000000,0.0000000000,2.3550051131,0.0000000000,1.0000000000,0.0322500310
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000237150
PI-NSGA-II,Schrodinger_1D,107,0.0000000000,0.0000000000,3.3306002854,0.0877136474,1.0000000000,0.0270277850
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000083300
PI-NSGA-II,HarmonicOscillator_1D,98,0.0000000000,0.0000000000,0.0157404968,0.0004923482,1.0000000000,0.0264302510
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063010
PI-NSGA-II,Airy_1D,250,0.0016792008,0.0000829401,0.0874004680,0.0021206221,0.9999998238,24.6274176520
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000062510
PI-NSGA-II,Laplace_2D,112,0.0000000000,0.0000000000,0.5091761303,0.0176554749,1.0000000000,0.0947271900
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0465089260
PI-NSGA-II,Poisson_2D,109,0.0000000000,0.0000000000,4.1488146330,0.0098301326,1.0000000000,0.0530209260
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.0982747480
PI-NSGA-II,Helmholtz_2D,111,0.0000000000,0.0000000000,5.2901060023,0.0149034476,1.0000000000,0.0551881010
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.1043853980
PI-NSGA-II,Schrodinger_2D,102,0.0000000000,0.0000000000,0.3910243639,0.0194820945,1.0000000000,0.0425920790
PI-NSGA-II,HarmonicOscillator_2D,111,0.0000000000,0.0000000000,0.0821503929,0.0020274428,1.0000000000,0.0466652840
PI-NSGA-II,Airy_2D,200,0.0390766552,0.0013881356,0.1396519244,0.0044145639,0.9999959535,27.3600570810
PI-NSGA-II,NonlinearPoisson_2D,97,0.0000000000,0.0000000000,0.0931764222,0.0023915125,1.0000000000,0.0515803680
PI-NSGA-II,Liouville_2D,96,0.0000000000,0.0000000000,0.0665682719,0.0018018698,1.0000000000,0.0459766720
PI-NSGA-II,Sine-Gordon_2D,114,0.0000000000,0.0000000000,8.6285005929,0.0174000257,1.0000000000,0.0676378790
PI-NSGA-II,Navier-Stokes_2D,21,0.0000000061,0.0000000000,0.0017454606,0.0000058500,1.0000000000,0.5166750280
