method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,120,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0350804920
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000104370
PI-NSGA-II,Poisson_1D,112,0.0000000000,0.0000000000,9.7092390627,0.0000000000,1.0000000000,0.0490257460
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000149690
PI-NSGA-II,Helmholtz_1D,114,0.0000000000,0.0000000000,8.3778697143,0.0016828282,1.0000000000,0.0349024460
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000265400
PI-NSGA-II,Schrodinger_1D,106,0.0000000000,0.0000000000,4.2718919867,0.2022624406,1.0000000000,0.0236939210
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000111820
PI-NSGA-II,HarmonicOscillator_1D,90,0.0000000000,0.0000000000,0.0153094780,0.0004935906,1.0000000000,0.0236384270
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000068900
PI-NSGA-II,Airy_1D,250,0.0348237153,0.0000003681,0.1440904228,0.0016336045,0.9999965176,44.1064112790
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063450
PI-NSGA-II,Laplace_2D,107,0.0000000000,0.0000000000,1.6908597977,0.0168689613,1.0000000000,0.0639986580
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0458219280
PI-NSGA-II,Poisson_2D,99,0.0000000000,0.0000000000,6.5818140164,0.0187761403,1.0000000000,0.0488263470
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.1036700420
PI-NSGA-II,Helmholtz_2D,101,0.0000000000,0.0000000000,7.6262570900,0.0202782084,1.0000000000,0.0646880240
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.0968777000
PI-NSGA-II,Schrodinger_2D,88,0.0000000000,0.0000000000,0.9096866553,0.0454559998,1.0000000000,0.0389256820
PI-NSGA-II,HarmonicOscillator_2D,93,0.0000000000,0.0000000000,0.0856441177,0.0023463841,1.0000000000,0.0342584180
PI-NSGA-II,Airy_2D,250,0.0281649552,0.0008634781,24.0906299357,0.0053307123,0.9999970972,88.6220016050
PI-NSGA-II,NonlinearPoisson_2D,98,0.0000000000,0.0000000000,0.0377008886,0.0007654251,1.0000000000,0.0434309420
PI-NSGA-II,Liouville_2D,99,0.0000000000,0.0000000000,0.0505604805,0.0011827312,1.0000000000,0.0441078200
PI-NSGA-II,Sine-Gordon_2D,106,0.0000000000,0.0000000000,13.3510126487,0.0332007010,1.0000000000,0.0633296760
PI-NSGA-II,Navier-Stokes_2D,26,0.0000000065,0.0000000000,0.0001654156,0.0000082708,1.0000000000,0.4856487160
