method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,178,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0323937980
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000092430
PI-NSGA-II,Poisson_1D,186,0.0000000000,0.0000000000,2.7429598855,0.0064764909,0.7469643756,0.0443400280
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000203680
PI-NSGA-II,Helmholtz_1D,194,0.0000000000,0.0000000000,3.5297552860,0.0357354719,0.7480081208,0.0465700200
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000343720
PI-NSGA-II,Schrodinger_1D,197,0.0000000000,0.0000000000,1.6394918817,0.0941889025,0.8332636651,0.0420311950
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000098710
PI-NSGA-II,HarmonicOscillator_1D,190,0.0000000000,0.0000000000,0.0093249324,0.0392957258,0.4999925900,0.0345513220
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075730
PI-NSGA-II,Airy_1D,153,0.0000000000,0.0000000000,0.0599570477,0.1070967964,0.9166645915,0.0631756720
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079960
PI-NSGA-II,Fisher_1D,200,0.0000000000,0.0000000000,0.1355310495,0.0430748878,0.9166664297,0.0743857200
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000367800
PI-NSGA-II,Duffing_1D,200,0.0000000000,0.0000000000,0.0917340506,0.0239672690,0.8333328594,0.0411030590
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000293090
