method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,163,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0332766540
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000094470
PI-NSGA-II,Poisson_1D,167,0.0000000000,0.0000000000,3.6389776738,0.0031623672,0.7468207707,0.0448430980
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000221160
PI-NSGA-II,Helmholtz_1D,178,0.0000000000,0.0000000000,4.4140759137,0.2311479249,0.7486097314,0.0492658150
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000345860
PI-NSGA-II,Schrodinger_1D,164,0.0000000000,0.0000000000,0.0733642791,0.0627552927,0.8332853640,0.0439867690
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000102790
PI-NSGA-II,HarmonicOscillator_1D,185,0.0000000000,0.0000000000,0.0169684068,0.1104316928,0.4999742990,0.0383480810
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075360
PI-NSGA-II,Airy_1D,158,0.0000000000,0.0000000000,0.0671922397,0.1764764735,0.9499969677,0.0637712910
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075430
PI-NSGA-II,Fisher_1D,190,0.0000000000,0.0000000000,0.1346098454,0.0335279916,0.9230768926,0.0378273650
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000208740
PI-NSGA-II,Duffing_1D,199,0.0000000000,0.0000000000,0.1083267806,0.0306529610,0.9230768924,0.0394450320
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000241100
PI-NSGA-II,ThomasFermi_1D,113,0.0000000000,0.0000000000,0.0924273283,0.1646947650,0.8571344973,0.1361254700
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000232270
PI-NSGA-II,Laplace_2D,121,0.0000000000,0.0000000000,0.1304277715,0.0619074891,0.9166590677,0.2517781300
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0379809120
PI-NSGA-II,Poisson_2D,181,0.0000000000,0.0000000000,13.6536511299,0.0465413502,0.8824981733,0.0648454690
