method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0331622450
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000095020
PI-NSGA-II,Poisson_1D,181,0.0000000000,0.0000000000,3.8167032861,0.0045200450,0.7468389953,0.0454800430
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000202380
PI-NSGA-II,Helmholtz_1D,194,0.0000000000,0.0000000000,4.2918051406,0.2680968758,0.7485845247,0.0479023480
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000437520
PI-NSGA-II,Schrodinger_1D,173,0.0000000000,0.0000000000,0.0000000000,0.0578034682,0.8332500000,0.0442332730
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000099600
PI-NSGA-II,HarmonicOscillator_1D,188,0.0000000000,0.0000000000,0.0177443820,0.0742377413,0.4999959632,0.0372963110
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075420
PI-NSGA-II,Airy_1D,159,0.0000000000,0.0000000000,0.0563361692,0.0745749285,0.9374989602,0.0638514960
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000078170
PI-NSGA-II,Fisher_1D,187,0.0000000000,0.0000000000,0.1453656723,0.0240641769,0.9374998223,0.0406008740
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000209190
PI-NSGA-II,Duffing_1D,180,0.0000000000,0.0000000000,0.0801911705,0.0269547510,0.9374998222,0.0395073290
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000240500
PI-NSGA-II,ThomasFermi_1D,114,0.0000000000,0.0000000000,0.0821957389,0.0900666411,0.9374982732,0.1352893590
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000231590
PI-NSGA-II,Laplace_2D,79,0.0000000000,0.0000000000,0.1382958233,0.0031639672,0.9090840224,0.2854930020
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0395209050
PI-NSGA-II,Poisson_2D,174,0.0000000000,0.0000000000,8.0198068683,0.0268125346,0.8834752049,0.0682825040
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1535753910
PI-NSGA-II,Helmholtz_2D,182,0.0000000000,0.0000000000,18.3949426246,0.2159470519,0.8847440199,0.0752655630
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2581165480
PI-NSGA-II,Schrodinger_2D,170,0.0000000000,0.0000000000,0.0307888374,0.0589081951,0.8748779663,0.0526092690
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0459698080
PI-NSGA-II,HarmonicOscillator_2D,187,0.0000000000,0.0000000000,0.0977437194,0.0509232186,0.7999907598,0.0555443440
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0430888190
PI-NSGA-II,Airy_2D,133,0.0000000000,0.0000000000,0.0836409983,0.0590331519,0.8749946794,0.0838326820
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0398184230
PI-NSGA-II,Fisher_2D,200,0.0000000000,0.0000000000,0.8046928158,0.0293180503,0.9599988844,0.1058425210
