trial,score_mse,hypervolume,eval_time_s,POP_SIZE,MAX_GEN,CROSSOVER_PROB,MUTATION_PROB,MAX_TREE_DEPTH,ALPHA_WEIGHT
1,1.7283198975549998,99982716.65252784,2145.5099403858185,200,500,0.95,0.1,2,0.6
2,1.74525555477,99982547.42671162,2364.581700325012,250,300,0.7,0.25,4,0.8
3,4.10219657244875,99958977.37235355,658.8156356811523,150,300,0.75,0.05,2,0.7
4,1.4268783969512497,99985730.59187552,1655.3645322322845,250,300,0.8,0.1,3,0.4
5,4.7565833538225,99952433.37721403,748.3928883075714,300,150,0.7,0.05,4,0.7
6,4.6579753602625,99953418.98278947,214.32294726371765,60,200,0.95,0.1,3,0.6
7,1.6510681444612498,99983489.0701903,1010.5055751800537,300,150,0.7,0.15,5,0.4
8,2.11538687541625,99978845.73375194,990.7774529457092,150,300,0.75,0.1,3,0.5
9,3.14218928176125,99968577.6898428,1089.1911256313324,150,300,0.9,0.15,3,0.8
10,2.75510311420375,99972448.50333303,620.4377899169922,250,200,0.95,0.05,2,0.4
11,3.3149622452625005,99966849.5193182,444.2351396083832,60,300,0.8,0.1,4,0.5
12,1.4666407713325003,99985333.49892725,1243.2959978580475,200,300,0.8,0.25,2,0.6
13,0.54666825293375,99994533.28913358,4189.218605995178,250,400,0.75,0.3,5,0.4
14,1.9442518719450002,99980557.38974544,3729.6835565567017,300,500,0.75,0.1,3,0.8
15,3.16777366769,99968321.96300368,587.0496621131897,300,100,0.75,0.2,5,0.6
16,1.21049623803,99987894.73193571,1825.4434671401978,200,300,0.95,0.15,4,0.4
17,3.5818991187024993,99964179.75763322,176.62922978401184,120,100,0.75,0.3,2,0.6
18,2.13589781654625,99978613.16916163,2156.8170692920685,120,500,0.9,0.05,5,0.5
19,4.2857149712625,99957140.18442516,244.62558364868164,120,150,0.85,0.1,2,0.6
20,0.59288633891,99994070.87357631,6400.436595201492,300,500,0.85,0.15,4,0.4
