method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,123,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0259467550
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000162670
PI-NSGA-II,Poisson_1D,113,0.0000000000,0.0000000000,9.9032639150,0.0000000000,1.0000000000,0.0313953770
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000227910
PI-NSGA-II,Helmholtz_1D,115,0.0000000000,0.0000000000,8.4814481478,0.0043926643,1.0000000000,0.0344866870
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000151420
PI-NSGA-II,Schrodinger_1D,111,0.0000000000,0.0000000000,3.3939824704,0.1688563861,1.0000000000,0.0352337440
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000190930
PI-NSGA-II,HarmonicOscillator_1D,98,0.0000000000,0.0000000000,0.0238515783,0.0008158225,1.0000000000,0.0276765900
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000083220
PI-NSGA-II,Airy_1D,250,0.0061743126,0.0000003088,0.1405604254,0.0021490770,0.9999993825,30.8663743840
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000064290
PI-NSGA-II,Laplace_2D,95,0.0000000000,0.0000000000,0.2766457182,0.0130130317,1.0000000000,0.0833667350
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0449941840
PI-NSGA-II,Poisson_2D,91,0.0000000000,0.0000000000,6.2264383795,0.0098704863,1.0000000000,0.0529535720
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.0953591280
PI-NSGA-II,Helmholtz_2D,94,0.0000000000,0.0000000000,7.9769526519,0.0172548962,1.0000000000,0.0574802160
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.1081587180
PI-NSGA-II,Schrodinger_2D,92,0.0000000000,0.0000000000,0.9946884723,0.0321260346,1.0000000000,0.0387883900
PI-NSGA-II,HarmonicOscillator_2D,90,0.0000000000,0.0000000000,0.0555413344,0.0013390034,1.0000000000,0.0575589700
PI-NSGA-II,Airy_2D,29,0.0836622594,0.0038104015,0.1823115598,0.0076577943,0.9999912527,41.2854804270
PI-NSGA-II,NonlinearPoisson_2D,86,0.0000000000,0.0000000000,0.0379115341,0.0009271419,1.0000000000,0.0478238300
PI-NSGA-II,Liouville_2D,87,0.0000000000,0.0000000000,0.0558107741,0.0015718604,1.0000000000,0.0510053640
PI-NSGA-II,Sine-Gordon_2D,98,0.0000000000,0.0000000000,12.9623724843,0.0242883546,1.0000000000,0.0707579300
PI-NSGA-II,Navier-Stokes_2D,20,0.0000000064,0.0000000000,0.0001265063,0.0000063253,1.0000000000,0.5637427680
