method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,117,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0198952090
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000068220
PI-NSGA-II,Poisson_1D,104,0.0000000000,0.0000000000,7.9047227093,0.0000000000,1.0000000000,0.0286239040
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000124850
PI-NSGA-II,Helmholtz_1D,109,0.0000000000,0.0000000000,7.8040084304,0.0051935496,1.0000000000,0.0331831250
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000218920
PI-NSGA-II,Schrodinger_1D,108,0.0000000000,0.0000000000,3.4689042031,0.1676359464,1.0000000000,0.0333324480
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000208350
PI-NSGA-II,HarmonicOscillator_1D,99,0.0000000000,0.0000000000,0.0194275025,0.0005324319,1.0000000000,0.0269856590
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000081540
PI-NSGA-II,Airy_1D,250,0.0002530239,0.0000097418,0.0983097271,0.0037220907,0.9999999737,15.2849580130
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000063290
PI-NSGA-II,Laplace_2D,111,0.0000000000,0.0000000000,0.3381234482,0.0142505585,1.0000000000,0.0703933570
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0461076460
PI-NSGA-II,Poisson_2D,99,0.0000000000,0.0000000000,8.3707251290,0.0200519055,1.0000000000,0.0515770480
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.0959898930
PI-NSGA-II,Helmholtz_2D,100,0.0000000000,0.0000000000,8.1526597200,0.0152319958,1.0000000000,0.0665839250
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.1070085040
PI-NSGA-II,Schrodinger_2D,88,0.0000000000,0.0000000000,0.6819267420,0.0340911741,1.0000000000,0.0372826240
PI-NSGA-II,HarmonicOscillator_2D,99,0.0000000000,0.0000000000,0.1506131010,0.0040107701,1.0000000000,0.0373918000
PI-NSGA-II,Airy_2D,27,0.0819858768,0.0036823610,0.1958379727,0.0081221251,0.9999914332,24.3191730680
PI-NSGA-II,NonlinearPoisson_2D,92,0.0000000000,0.0000000000,0.1299358835,0.0026193717,1.0000000000,0.0458644630
PI-NSGA-II,Liouville_2D,92,0.0000000000,0.0000000000,0.1167323359,0.0027324219,1.0000000000,0.0463075720
PI-NSGA-II,Sine-Gordon_2D,110,0.0000000000,0.0000000000,16.8913493590,0.0602099375,1.0000000000,0.0642576320
PI-NSGA-II,Navier-Stokes_2D,22,0.0000000071,0.0000000000,0.0495264978,0.0000068113,1.0000000000,0.4674770370
