method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,122,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0205103380
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000060820
PI-NSGA-II,Poisson_1D,118,0.0000000000,0.0000000000,9.3696447018,0.0000000000,1.0000000000,0.0287159550
RK4/FDM,Poisson_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000221670
PI-NSGA-II,Helmholtz_1D,120,0.0000000000,0.0000000000,8.0388071792,0.0030657017,1.0000000000,0.0307156700
RK4/FDM,Helmholtz_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000227830
PI-NSGA-II,Schrodinger_1D,113,0.0000000000,0.0000000000,4.0427799676,0.2015425863,1.0000000000,0.0450801660
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000088780
PI-NSGA-II,HarmonicOscillator_1D,98,0.0000000000,0.0000000000,0.0368916465,0.0012303488,1.0000000000,0.0234343380
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000064390
PI-NSGA-II,Airy_1D,250,0.0056838785,0.0000008592,0.2139735479,0.0097127311,0.9999994315,12.5360135420
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000062770
PI-NSGA-II,Laplace_2D,103,0.0000000000,0.0000000000,0.5243121759,0.0260750508,1.0000000000,0.0720243030
RK4/FDM,Laplace_2D,1,0.0003958869,0.0000000000,0.0003958869,0.0000000000,0.0000000000,0.0447618890
PI-NSGA-II,Poisson_2D,87,0.0000000000,0.0000000000,6.6508539265,0.0160771528,1.0000000000,0.0528270540
RK4/FDM,Poisson_2D,1,0.0039076445,0.0000000000,0.0039076445,0.0000000000,0.0000000000,0.1035319580
PI-NSGA-II,Helmholtz_2D,86,0.0000000000,0.0000000000,5.1036820156,0.0174781399,1.0000000000,0.0648309320
RK4/FDM,Helmholtz_2D,1,0.0048138713,0.0000000000,0.0048138713,0.0000000000,0.0000000000,0.0980139510
PI-NSGA-II,Schrodinger_2D,84,0.0000000000,0.0000000000,0.7179526624,0.0357161653,1.0000000000,0.0418091760
PI-NSGA-II,HarmonicOscillator_2D,86,0.0000000000,0.0000000000,0.0475790245,0.0013270645,1.0000000000,0.0380206700
PI-NSGA-II,Airy_2D,250,0.1297194265,0.0050192946,0.2455970266,0.0071513366,0.9999865261,43.7669364730
PI-NSGA-II,NonlinearPoisson_2D,88,0.0000000000,0.0000000000,0.2254293935,0.0054445590,1.0000000000,0.0768665320
PI-NSGA-II,Liouville_2D,88,0.0000000000,0.0000000000,0.2070226601,0.0055480862,1.0000000000,0.0501254480
PI-NSGA-II,Sine-Gordon_2D,93,0.0000000000,0.0000000000,13.0081874804,0.0411655001,1.0000000000,0.0635346730
PI-NSGA-II,Navier-Stokes_2D,24,0.0000000068,0.0000000000,0.0001371032,0.0000068551,1.0000000000,0.5180895050
