method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,170,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0329531120
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000092680
PI-NSGA-II,Poisson_1D,176,0.0000000000,0.0000000000,0.7599181658,0.0016478002,0.7468419057,0.0449738320
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000201500
PI-NSGA-II,Helmholtz_1D,166,0.0000000000,0.0000000000,2.6523814469,0.0504150576,0.7482239592,0.0484130730
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000439140
PI-NSGA-II,Schrodinger_1D,179,0.0000000000,0.0000000000,0.9228780177,0.0444325345,0.8332668684,0.0397308810
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000195610
PI-NSGA-II,HarmonicOscillator_1D,185,0.0000000000,0.0000000000,0.0123587947,0.0498161212,0.4999977939,0.0341255760
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000073870
PI-NSGA-II,Airy_1D,140,0.0000000000,0.0000000000,0.0545002399,0.0804661339,0.8333313339,0.0689035300
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000079690
PI-NSGA-II,Fisher_1D,186,0.0000000000,0.0000000000,0.1576170565,0.0149480902,0.8333328596,0.0374912070
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000206990
PI-NSGA-II,Duffing_1D,200,0.0000000000,0.0000000000,0.1554321343,0.0270017100,0.8333328594,0.0858260220
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000242100
PI-NSGA-II,ThomasFermi_1D,105,0.0000000000,0.0000000000,0.0237309775,0.1350646097,0.8571392626,0.1380978430
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000249240
PI-NSGA-II,Laplace_2D,79,0.0000000000,0.0000000000,0.0063855332,0.0038333037,0.9090832601,0.2538203320
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0391355270
PI-NSGA-II,Poisson_2D,187,0.0000000000,0.0000000000,15.6246743063,0.0313928390,0.8824061551,0.0664427350
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1551605410
PI-NSGA-II,Helmholtz_2D,200,0.0000000000,0.0000000000,28.3945895490,0.2480391010,0.8842795167,0.0936836810
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2584025770
PI-NSGA-II,Schrodinger_2D,180,0.0000000000,0.0000000000,19.2713958814,0.2083508395,0.9276244749,0.0486466180
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0465216060
PI-NSGA-II,HarmonicOscillator_2D,200,0.0000000000,0.0000000000,0.0774977090,0.0645745739,0.7999851499,0.0566999030
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0439797130
PI-NSGA-II,Airy_2D,136,0.0000000000,0.0000000000,0.1302339753,0.0559663859,0.8749901537,0.0779760420
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0400349020
