method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,151,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0279119190
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000094630
PI-NSGA-II,Poisson_1D,162,0.0000000000,0.0000000000,3.9540321753,0.0085926737,0.7465773571,0.0388982760
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000206460
PI-NSGA-II,Helmholtz_1D,163,0.0000000000,0.0000000000,4.7084445501,0.0206886509,0.7473883648,0.0442686610
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000438120
PI-NSGA-II,Schrodinger_1D,170,0.0000000000,0.0000000000,0.0000000000,0.1058823529,0.8332500000,0.0350194330
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000103380
PI-NSGA-II,HarmonicOscillator_1D,179,0.0000000000,0.0000000000,0.0198332367,0.0925848536,0.4999959622,0.0309275860
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000074780
PI-NSGA-II,Airy_1D,137,0.0000000000,0.0000000000,0.0495067491,0.1666599835,0.9545444577,0.0546724480
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075180
PI-NSGA-II,Fisher_1D,186,0.0000000000,0.0000000000,0.1351292205,0.0397408919,0.9285712255,0.0330232180
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000215730
PI-NSGA-II,Duffing_1D,196,0.0000000000,0.0000000000,0.0706894076,0.0345492969,0.9285712253,0.0330030190
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000242000
PI-NSGA-II,ThomasFermi_1D,112,0.0000000000,0.0000000000,0.0749968049,0.1340155386,0.8999962141,0.1215053890
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000232280
PI-NSGA-II,Laplace_2D,92,0.0000000000,0.0000000000,34.1522275854,0.0368105293,0.9090819824,0.2567021730
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0383503930
PI-NSGA-II,Poisson_2D,164,0.0000000000,0.0000000000,4.9955221696,0.0087997562,0.8822207297,0.0627634780
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1516722390
PI-NSGA-II,Helmholtz_2D,181,0.0000000000,0.0000000000,15.0415335599,0.5480595062,0.8833752224,0.0680809710
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2525750160
PI-NSGA-II,Schrodinger_2D,160,0.0000000000,0.0000000000,0.1028203242,0.0341221713,0.9164779453,0.0512902370
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0466913860
PI-NSGA-II,HarmonicOscillator_2D,191,0.0000000000,0.0000000000,0.1099162007,0.0787543249,0.9705871034,0.0552200280
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0433487190
PI-NSGA-II,Airy_2D,137,0.0000000000,0.0000000000,0.1376469701,0.0516524819,0.9583307038,0.0839269230
