method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,182,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0262619960
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000092870
PI-NSGA-II,Poisson_1D,182,0.0000000000,0.0000000000,1.2214094290,0.0015934771,0.7469196705,0.0418584350
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000208370
PI-NSGA-II,Helmholtz_1D,181,0.0000000000,0.0000000000,2.4503032834,0.0775633123,0.7478970366,0.0422391140
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000439220
PI-NSGA-II,Schrodinger_1D,171,0.0000000000,0.0000000000,0.6186866934,0.0736617247,0.8332661154,0.0391296780
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000102550
PI-NSGA-II,HarmonicOscillator_1D,200,0.0000000000,0.0000000000,0.0171877116,0.0662650876,0.4999960477,0.0324203910
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000085340
PI-NSGA-II,Airy_1D,142,0.0000000000,0.0000000000,0.0593629420,0.0666502486,0.8888875752,0.0536957500
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000075120
PI-NSGA-II,Fisher_1D,194,0.0000000000,0.0000000000,0.1522994519,0.0132639102,0.4999985790,0.0321951030
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000209100
PI-NSGA-II,Duffing_1D,189,0.0000000000,0.0000000000,0.1130098983,0.0198405020,0.8333328592,0.0331003410
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000240830
PI-NSGA-II,ThomasFermi_1D,115,0.0000000000,0.0000000000,0.0979721059,0.0746736605,0.8571399205,0.1233890550
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000233270
PI-NSGA-II,Laplace_2D,76,0.0000000000,0.0000000000,0.0727643815,0.0030051644,0.9090835448,0.2572378250
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0384672690
PI-NSGA-II,Poisson_2D,178,0.0000000000,0.0000000000,5.5569259739,0.0169547249,0.8836655059,0.0666010480
RK4/FDM,Poisson_2D,1,0.9450813646,0.0000000000,0.9450813646,0.0000000000,0.0000000000,0.1542036830
PI-NSGA-II,Helmholtz_2D,173,0.0000000000,0.0000000000,7.8564236272,0.0583111122,0.8839911822,0.0720710380
RK4/FDM,Helmholtz_2D,1,0.9414860071,0.0000000000,0.9414860071,0.0000000000,0.0000000000,0.2598861320
PI-NSGA-II,Schrodinger_2D,177,0.0000000000,0.0000000000,15.6629906768,0.2344811394,0.9769701524,0.0516461720
RK4/FDM,Schrodinger_2D,1,0.2401012177,0.0000000000,0.2401012177,0.0000000000,0.0000000000,0.0474320180
PI-NSGA-II,HarmonicOscillator_2D,200,0.0000000000,0.0000000000,0.0979331098,0.0578975928,0.8571308989,0.0648575000
RK4/FDM,HarmonicOscillator_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0433475840
PI-NSGA-II,Airy_2D,138,0.0000000000,0.0000000000,0.1295134505,0.0464892117,0.9767432799,0.0838691210
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0400553790
PI-NSGA-II,Fisher_2D,200,0.0000000000,0.0000000000,0.7532051320,0.0557488032,0.9772722276,0.1424438720
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0414860650
PI-NSGA-II,Duffing_2D,200,0.0000000000,0.0000000000,0.4969271615,0.0776812141,0.9772719274,0.1416715180
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0486940170
PI-NSGA-II,ThomasFermi_2D,159,0.0000000000,0.0000000000,0.7296837949,0.1630773275,0.9772714849,0.1684725870
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0509252500
PI-NSGA-II,NonlinearPoisson_2D,118,0.0000000000,0.0000000000,0.4311144098,0.0916777512,0.8888224351,0.1763375410
RK4/FDM,NonlinearPoisson_2D,1,0.0001150038,0.0000000000,0.0001150038,0.0000000000,0.0000000000,0.1142864680
PI-NSGA-II,Liouville_2D,110,0.0000000000,0.0000000000,0.3366297859,0.0762593719,0.8888432161,0.1872938800
RK4/FDM,Liouville_2D,1,0.0001504742,0.0000000000,0.0001504742,0.0000000000,0.0000000000,0.1845291410
PI-NSGA-II,ThomasFermi_2D,159,0.0000000000,0.0000000000,0.7267626572,0.1657191266,0.9772714849,0.1660379160
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0735446860
PI-NSGA-II,Navier-Stokes_2D,79,0.0000000000,0.0000000000,0.0020582352,0.0000011435,0.9230769224,1.0560166840
PI-NSGA-II,Navier-Stokes-Unsteady_2D,142,0.0000000000,0.0000000000,0.7923369602,0.0122841476,0.9333269757,1.3114063670
PI-NSGA-II,Bratu_2D,80,0.0000000000,0.0000000000,0.1043611329,0.2511843026,0.8749397605,0.2535391490
RK4/FDM,Bratu_2D,1,0.0000152097,0.0000000000,0.0000152097,0.0000000000,0.0000000000,0.0976342850
PI-NSGA-II,Allen-Cahn_2D,128,0.0000000000,0.0000000000,0.0229118651,0.4405551410,0.9583155047,0.1900061650
RK4/FDM,Allen-Cahn_2D,1,0.1375674152,0.0000000000,0.1375674152,0.0000000000,0.0000000000,0.0617855820
PI-NSGA-II,Lane-Emden_1D,71,0.0000000043,0.0000000000,0.0281690182,0.0001516293,0.8332494669,0.1307119310
RK4/FDM,Lane-Emden_1D,1,0.0036296290,0.0000000000,0.0036296290,0.0000000000,0.0000000000,0.0000173830
