method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PI-NSGA-II,Laplace_1D,174,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0348919090
RK4/FDM,Laplace_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000093310
PI-NSGA-II,Poisson_1D,177,0.0000000000,0.0000000000,4.2896303126,0.0067700595,0.7468905182,0.0433039040
RK4/FDM,Poisson_1D,1,1.9599999655,0.0000000000,1.9599999655,0.0000000000,0.0000000000,0.0000214340
PI-NSGA-II,Helmholtz_1D,193,0.0000000000,0.0000000000,6.2535310530,0.0682811013,0.7481862272,0.0448530390
RK4/FDM,Helmholtz_1D,1,1.9599999382,0.0000000000,1.9599999382,0.0000000000,0.0000000000,0.0000923320
PI-NSGA-II,Schrodinger_1D,176,0.0000000000,0.0000000000,0.1884044748,0.1015095984,0.8332522311,0.0400407480
RK4/FDM,Schrodinger_1D,1,0.4914014268,0.0000000000,0.4914014268,0.0000000000,0.0000000000,0.0000234110
PI-NSGA-II,HarmonicOscillator_1D,195,0.0000000000,0.0000000000,0.0230920755,0.1234393826,0.4999979196,0.0330012330
RK4/FDM,HarmonicOscillator_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000073560
PI-NSGA-II,Airy_1D,150,0.0000000000,0.0000000000,0.0569372868,0.1183700363,0.7999976729,0.0590844920
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000073550
PI-NSGA-II,Fisher_1D,194,0.0000000000,0.0000000000,0.1504657131,0.0292592796,0.8333328596,0.0368473060
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000207950
PI-NSGA-II,Duffing_1D,192,0.0000000000,0.0000000000,0.1089596718,0.0289565191,0.8333328594,0.0404314550
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000241010
PI-NSGA-II,ThomasFermi_1D,104,0.0000000000,0.0000000000,0.0404039019,0.1460361710,0.8571417180,0.1318997580
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000226510
PI-NSGA-II,Laplace_2D,84,0.0000000000,0.0000000000,0.1266614213,0.0069478196,0.9090826830,0.2593390430
RK4/FDM,Laplace_2D,1,0.0000062306,0.0000000000,0.0000062306,0.0000000000,0.0000000000,0.0412337970
